source,schema_id,columns_json
plate,P23,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P24,"[""well_index"", ""genotype"", ""start_age_hpf"", ""medium"", ""embryos_per_well"", ""chem_perturbation"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P25,"[""well_index"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""medium"", ""embryos_per_well"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P26,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""series_number_map"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""qc"", ""image_notes"", ""morph_seq_qc"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P27,"[""well_index"", ""orig_genotype"", ""medium"", ""mold_type"", ""genotype"", ""series_number_map"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""qc"", ""image_notes"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P28,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""series_number_map"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""qc"", ""image_notes"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P29,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""series_number_map"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""image_notes"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P30,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""experiment_id"", ""well_id"", ""temperature""]"
plate,P31,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P32,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""start_age_hpf"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""chem_perturbation"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P33,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""pair"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P34,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""tricane"", ""experiment_id"", ""well_id""]"
plate,P35,"[""well_index"", ""medium"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P36,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""series_number_map"", ""start_age_hpf"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""tricane"", ""pair"", ""experiment_id"", ""well_id""]"
plate,P37,"[""well_index"", ""genotype"", ""temperature"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P38,"[""well_index"", ""genotype"", ""chem_perturbation"", ""start_stage_hpf"", ""temperature"", ""sequenced"", ""qc"", ""image_notes"", ""image_to_hash_map"", ""hash_plate_num"", ""experiment_id"", ""well_id"", ""start_age_hpf"", ""medium""]"
